name,team,situation,position,icetime,I_F_points,I_F_goals
Tim Stutzle,OTT,all,L,87270,58,22
Sam Gagner,DET,all,C,66194,31,13
Jason Spezza,TOR,all,C,45778,25,12
Chris Wagner,BOS,all,R,957,0,0
Mark Stone,VGK,all,R,40722,30,9
Darren Raddysh,TBL,all,D,2561,0,0
Nils Hoglander,VAN,all,L,47213,18,10
Aleksander Barkov,FLA,all,C,81619,88,39
Pierre-Edouard Bellemare,TBL,all,L,66035,20,9
Denis Gurianov,DAL,all,R,62131,31,11
Nazem Kadri,COL,all,C,81958,87,28
Matt Boldy,MIN,all,L,43382,39,15
Claude Giroux,FLA,all,R,85732,65,21
Connor McMichael,WSH,all,C,42710,18,9
Zac Dalpe,FLA,all,C,368,0,0
Jake Leschyshyn,VGK,all,C,27801,6,2
Mats Zuccarello,MIN,all,R,78075,79,24
Jay Beagle,ARI,all,C,27295,2,1
Tyler Benson,EDM,all,L,14858,2,1
Riley Nash,ARI,all,C,33597,4,0
Joel Kiviranta,DAL,all,L,31994,7,1
Matthew Highmore,VAN,all,C,35038,12,5
Philip Broberg,EDM,all,D,18588,3,1
Otto Koivula,NYI,all,L,5157,2,0
Brett Ritchie,CGY,all,R,23917,4,3
Christian Wolanin,LAK,all,D,7936,2,1
Henri Jokiharju,BUF,all,D,78766,19,3
Rocco Grimaldi,NSH,all,R,4590,0,0
Bo Horvat,VAN,all,C,81853,52,31
Sonny Milano,ANA,all,L,60501,34,14
Carson Soucy,SEA,all,D,67814,21,10
Vince Dunn,SEA,all,D,90559,35,7
Blake Speers,ARI,all,C,1099,0,0
Joe Veleno,DET,all,C,52329,15,8
Marc Staal,DET,all,D,74225,16,3
Cole Sillinger,CBJ,all,C,64941,31,16
Travis Konecny,PHI,all,R,83489,52,16
Ryan Murray,COL,all,D,31274,4,0
Liam Foudy,CBJ,all,C,711,0,0
Brandon Duhaime,MIN,all,R,49047,17,6
Esa Lindell,DAL,all,D,100526,25,4
Boris Katchouk,CHI,all,L,35118,7,3
Casey Fitzgerald,BUF,all,D,36450,6,0
Taylor Hall,BOS,all,L,79761,61,20
Jake Bean,CBJ,all,D,82684,25,7
Eetu Luostarinen,FLA,all,C,62887,26,9
Sean Couturier,PHI,all,C,35475,17,6
Nate Schmidt,WPG,all,D,93367,32,4
Trevor Lewis,CGY,all,C,61591,16,6
Scott Sabourin,OTT,all,R,3190,2,0
Sheldon Dries,VAN,all,C,6798,3,2
Drake Caggiula,BUF,all,C,15807,5,2
Josh Mahura,ANA,all,D,32058,7,3
Cole Schwindt,FLA,all,C,2544,0,0
Kevin Fiala,MIN,all,L,86824,85,33
Juuso Valimaki,CGY,all,D,8481,2,0
Alex Barre-Boulet,TBL,all,C,10562,6,3
Scott Reedy,SJS,all,C,23491,9,7
Alexander Alexeyev,WSH,all,D,635,0,0
Calle Jarnkrok,CGY,all,C,63509,30,12
Paul Stastny,WPG,all,C,75756,45,21
Moritz Seider,DET,all,D,113384,50,7
Luke Schenn,VAN,all,D,68151,17,5
Gustav Nyquist,CBJ,all,C,87776,53,18
Dillon Dube,CGY,all,C,60857,32,18
Erik Gudbranson,CGY,all,D,84892,17,6
Brendan Perlini,EDM,all,L,11554,5,4
Rafael Harvey-Pinard,MTL,all,L,3141,1,1
Will Butcher,BUF,all,D,36593,8,2
Alexandre Texier,CBJ,all,C,31552,20,11
Tyler Lewington,BOS,all,D,1493,0,0
Barrett Hayton,ARI,all,C,58025,24,10
Jimmy Vesey,NJD,all,L,58850,15,8
Martin Frk,LAK,all,R,5051,2,2
Nikita Zaitsev,OTT,all,D,70643,11,2
Brayden McNabb,VGK,all,D,81558,18,3
Tony DeAngelo,CAR,all,D,76065,51,10
Logan Brown,STL,all,C,23844,11,4
Jordan Martinook,CAR,all,L,39651,15,6
Brent Burns,SJS,all,D,128642,54,10
Ryan Lindgren,NYR,all,D,94070,15,4
William Carrier,VGK,all,L,43938,20,9
Tomas Tatar,NJD,all,L,67635,30,15
Blake Comeau,DAL,all,L,4129,1,1
Robby Fabbri,DET,all,C,58227,30,17
Artemi Kniazev,SJS,all,D,719,0,0
Nicolas Meloche,SJS,all,D,50627,7,2
Andrej Sustr,ANA,all,D,33569,6,1
Ross Johnston,NYI,all,L,19721,7,2
Joel Armia,MTL,all,R,49405,14,6
Oskar Steen,BOS,all,C,13288,6,2
Vincent Trocheck,CAR,all,C,86867,51,21
Patrik Laine,CBJ,all,L,63267,56,26
Michael Carcone,ARI,all,L,15515,6,4
Nathan Walker,STL,all,L,20776,12,8
Hudson Fasching,ARI,all,R,6523,0,0
Kale Clague,MTL,all,D,36153,10,2
Sean Durzi,LAK,all,D,75243,27,3
Justin Holl,TOR,all,D,83662,23,3
Kyle Connor,WPG,all,L,103219,93,47
Adam Larsson,SEA,all,D,109622,25,8
Philipp Kurashev,CHI,all,C,51673,21,6
Martin Necas,CAR,all,C,75760,40,14
Charlie Coyle,BOS,all,C,85647,44,16
Jason Dickinson,VAN,all,C,48516,11,5
Dmitry Kulikov,MIN,all,D,87341,24,7
Adrian Kempe,LAK,all,C,86972,54,35
Brad Hunt,VAN,all,D,45759,17,3
Tom Wilson,WSH,all,R,86965,52,24
Radim Zohorna,PIT,all,L,10534,6,2
Matt Benning,NSH,all,D,63715,11,0
Tage Thompson,BUF,all,R,83676,68,38
Martin Fehervary,WSH,all,D,93155,17,8
Rem Pitlick,MTL,all,C,58355,37,15
Morgan Rielly,TOR,all,D,116791,68,10
Joonas Donskoi,SEA,all,R,66767,22,2
Alexander Edler,LAK,all,D,45418,19,3
Logan Couture,SJS,all,C,87469,56,23
Chris Wideman,MTL,all,D,57124,27,4
Dylan DeMelo,WPG,all,D,84356,13,1
Mattias Janmark,VGK,all,C,57664,25,9
Kyle Criscuolo,DET,all,C,3440,2,0
Rasmus Andersson,CGY,all,D,111582,50,4
Oliver Kylington,CGY,all,D,79532,31,9
William Nylander,TOR,all,R,88807,80,34
Kent Johnson,CBJ,all,C,6719,3,0
Urho Vaakanainen,ANA,all,D,33614,6,0
Philip Tomasino,NSH,all,C,52606,32,11
Markus Nutivaara,FLA,all,D,421,1,0
Dylan Samberg,WPG,all,D,13368,5,0
Mason Shaw,MIN,all,C,1618,0,0
Kole Sherwood,NSH,all,R,488,0,0
Guillaume Brisebois,VAN,all,D,253,0,0
Nicolas Roy,VGK,all,C,76092,39,15
Mikael Backlund,CGY,all,C,84222,39,12
Zach Sanford,WPG,all,L,68635,21,9
Kevin Stenlund,CBJ,all,C,1355,0,0
Mason Geertsen,NJD,all,D,10435,0,0
Jonas Siegenthaler,NJD,all,D,86380,14,1
Brandon Biro,BUF,all,L,810,0,0
Greg McKegg,NYR,all,C,28037,5,2
Mitchell Marner,TOR,all,R,90214,97,35
Alexander Romanov,MTL,all,D,96669,13,3
Steven Stamkos,TBL,all,C,89803,106,42
Chase Priskie,FLA,all,D,3361,0,0
Patrik Nemeth,NYR,all,D,62879,7,2
Andrew Agozzino,OTT,all,L,412,0,0
Max McCormick,SEA,all,L,4860,0,0
Cale Makar,COL,all,D,118586,86,28
Alex Killorn,TBL,all,L,91989,59,25
Ben Jones,VGK,all,C,965,0,0
Colin White,OTT,all,C,22086,10,3
Mitchell Chaffee,MIN,all,R,894,0,0
Artturi Lehkonen,COL,all,L,67022,38,19
Cody Ceci,EDM,all,D,97795,28,5
Jack Quinn,BUF,all,R,1785,2,1
Mathieu Joseph,OTT,all,R,58780,30,12
Fabian Zetterlund,NJD,all,L,11208,8,3
Max Pacioretty,VGK,all,L,40666,37,19
Tanner Laczynski,PHI,all,C,567,0,0
Ryan Strome,NYR,all,C,81365,54,21
Connor Mackey,CGY,all,D,2444,1,0
Jeffrey Viel,SJS,all,L,17959,5,3
Max Willman,PHI,all,C,28958,6,4
Josh Leivo,CAR,all,L,3876,3,1
Darren Helm,COL,all,C,43049,15,7
Jarred Tinordi,NYR,all,D,5427,1,1
Dante Fabbro,NSH,all,D,75447,24,3
Dylan Sikura,COL,all,C,2987,1,0
Sasha Chmelevski,SJS,all,C,15030,8,0
Jaccob Slavin,CAR,all,D,111532,42,4
Jake Neighbours,STL,all,L,5051,2,1
Daniel Sprong,SEA,all,R,49092,20,14
Andreas Athanasiou,LAK,all,C,25593,17,11
Sean Day,TBL,all,D,1285,0,0
Trey Fix-Wolansky,CBJ,all,R,2263,2,1
Noah Gregor,SJS,all,C,56457,23,8
Jayson Megna,COL,all,C,12366,3,0
Tyler Bertuzzi,DET,all,L,81092,62,30
Jacob Bernard-Docker,OTT,all,D,7089,1,0
Jakub Voracek,CBJ,all,R,82757,62,6
Erik Karlsson,SJS,all,D,70411,35,10
Alex Wennberg,SEA,all,C,85689,37,11
Kevin Hayes,PHI,all,C,51620,31,10
Cam Fowler,ANA,all,D,111338,42,9
Matt Tennyson,NSH,all,D,6197,3,0
Ian Mitchell,CHI,all,D,5727,1,0
Patrice Bergeron,BOS,all,C,79585,65,25
Tobias Bjornfot,LAK,all,D,70404,8,0
Adam Brooks,WPG,all,C,13422,3,2
Caleb Jones,CHI,all,D,74210,21,5
Paul Cotter,VGK,all,C,3701,2,2
Derek Forbort,BOS,all,D,82633,14,4
Evgeni Malkin,PIT,all,C,45091,42,20
Bowen Byram,COL,all,D,33854,17,5
Jacob MacDonald,COL,all,D,4844,0,0
Alex Newhook,COL,all,C,57784,33,13
Adam Pelech,NYI,all,D,99595,28,3
Brendan Guhle,ANA,all,D,5280,0,0
Riley Sheahan,SEA,all,C,49865,17,4
